1, 10000, 222
2, 10000, 204
3, 10000, 988
4, 10000, 449
5, 10000, 444
1, 10000, 221
2, 10000, 197
3, 10000, 954
4, 10000, 448
5, 10000, 434
1, 10000, 224
2, 10000, 198
3, 10000, 988
4, 10000, 446
5, 10000, 440
1, 10000, 228
2, 10000, 196
3, 10000, 990
4, 10000, 441
5, 10000, 432
1, 10000, 220
2, 10000, 197
3, 10000, 933
4, 10000, 439
5, 10000, 439
1, 10000, 223
2, 10000, 204
3, 10000, 939
4, 10000, 440
5, 10000, 443
1, 13000, 412
2, 13000, 385
3, 13000, 2027
4, 13000, 882
5, 13000, 889
1, 13000, 410
2, 13000, 380
3, 13000, 1989
4, 13000, 885
5, 13000, 886
1, 13000, 408
2, 13000, 377
3, 13000, 2032
4, 13000, 911
5, 13000, 896
1, 13000, 418
2, 13000, 386
3, 13000, 1977
4, 13000, 880
5, 13000, 886
1, 13000, 415
2, 13000, 396
3, 13000, 2086
4, 13000, 917
5, 13000, 914
1, 13000, 413
2, 13000, 384
3, 13000, 1999
4, 13000, 888
5, 13000, 887
1, 16000, 680
2, 16000, 664
3, 16000, 3479
4, 16000, 1544
5, 16000, 1525
1, 16000, 689
2, 16000, 659
3, 16000, 3452
4, 16000, 1544
5, 16000, 1530
1, 16000, 672
2, 16000, 654
3, 16000, 3485
4, 16000, 1561
5, 16000, 1538
1, 16000, 683
2, 16000, 664
3, 16000, 3488
4, 16000, 1559
5, 16000, 1531
1, 16000, 695
2, 16000, 658
3, 16000, 3458
4, 16000, 1532
5, 16000, 1658
1, 16000, 723
2, 16000, 703
3, 16000, 3632
4, 16000, 1560
5, 16000, 1539
1, 19000, 1080
2, 19000, 1040
3, 19000, 5057
4, 19000, 2428
5, 19000, 2425
1, 19000, 1055
2, 19000, 1045
3, 19000, 5092
4, 19000, 2431
5, 19000, 2434
1, 19000, 1067
2, 19000, 1043
3, 19000, 5093
4, 19000, 2434
5, 19000, 2431
1, 19000, 1095
2, 19000, 1044
3, 19000, 5079
4, 19000, 2420
5, 19000, 2456
1, 19000, 1146
2, 19000, 1052
3, 19000, 5256
4, 19000, 2503
5, 19000, 2545
1, 19000, 1244
2, 19000, 1177
3, 19000, 5045
4, 19000, 2414
5, 19000, 2408
1, 22000, 1518
2, 22000, 1486
3, 22000, 7133
4, 22000, 3499
5, 22000, 3449
1, 22000, 1521
2, 22000, 1483
3, 22000, 7135
4, 22000, 3494
5, 22000, 3451
1, 22000, 1536
2, 22000, 1485
3, 22000, 7122
4, 22000, 3493
5, 22000, 3456
1, 22000, 1510
2, 22000, 1499
3, 22000, 7157
4, 22000, 3535
5, 22000, 3477
1, 22000, 1532
2, 22000, 1497
3, 22000, 7195
4, 22000, 3532
5, 22000, 3483
1, 22000, 1515
2, 22000, 1482
3, 22000, 7123
4, 22000, 3509
5, 22000, 3451
