1, 10000, 1
2, 10000, 392
3, 10000, 915
4, 10000, 445
5, 10000, 228
1, 10000, 1
2, 10000, 389
3, 10000, 921
4, 10000, 442
5, 10000, 230
1, 10000, 1
2, 10000, 396
3, 10000, 924
4, 10000, 441
5, 10000, 226
1, 10000, 1
2, 10000, 397
3, 10000, 911
4, 10000, 446
5, 10000, 228
1, 10000, 1
2, 10000, 390
3, 10000, 899
4, 10000, 430
5, 10000, 223
1, 10000, 1
2, 10000, 378
3, 10000, 923
4, 10000, 444
5, 10000, 230
1, 13000, 1
2, 13000, 682
3, 13000, 1862
4, 13000, 897
5, 13000, 447
1, 13000, 1
2, 13000, 700
3, 13000, 1859
4, 13000, 892
5, 13000, 447
1, 13000, 1
2, 13000, 697
3, 13000, 1856
4, 13000, 898
5, 13000, 450
1, 13000, 1
2, 13000, 701
3, 13000, 1837
4, 13000, 879
5, 13000, 441
1, 13000, 1
2, 13000, 678
3, 13000, 1860
4, 13000, 894
5, 13000, 448
1, 13000, 0
2, 13000, 684
3, 13000, 1857
4, 13000, 901
5, 13000, 452
1, 16000, 1
2, 16000, 1073
3, 16000, 3257
4, 16000, 1529
5, 16000, 768
1, 16000, 1
2, 16000, 1057
3, 16000, 3205
4, 16000, 1523
5, 16000, 765
1, 16000, 1
2, 16000, 1148
3, 16000, 3216
4, 16000, 1532
5, 16000, 772
1, 16000, 1
2, 16000, 1054
3, 16000, 3212
4, 16000, 1511
5, 16000, 767
1, 16000, 1
2, 16000, 1057
3, 16000, 3208
4, 16000, 1508
5, 16000, 763
1, 16000, 1
2, 16000, 1070
3, 16000, 3234
4, 16000, 1521
5, 16000, 766
1, 19000, 2
2, 19000, 1712
3, 19000, 4875
4, 19000, 2374
5, 19000, 1189
1, 19000, 2
2, 19000, 1659
3, 19000, 4871
4, 19000, 2367
5, 19000, 1188
1, 19000, 1
2, 19000, 1718
3, 19000, 4908
4, 19000, 2391
5, 19000, 1201
1, 19000, 2
2, 19000, 1622
3, 19000, 4895
4, 19000, 2386
5, 19000, 1203
1, 19000, 2
2, 19000, 1716
3, 19000, 4906
4, 19000, 2392
5, 19000, 1198
1, 19000, 1
2, 19000, 1567
3, 19000, 4883
4, 19000, 2374
5, 19000, 1184
1, 22000, 2
2, 22000, 2126
3, 22000, 6902
4, 22000, 3352
5, 22000, 1723
1, 22000, 1
2, 22000, 2369
3, 22000, 6901
4, 22000, 3355
5, 22000, 1720
1, 22000, 1
2, 22000, 2310
3, 22000, 6923
4, 22000, 3356
5, 22000, 1722
1, 22000, 1
2, 22000, 2369
3, 22000, 6903
4, 22000, 3351
5, 22000, 1723
1, 22000, 1
2, 22000, 2242
3, 22000, 6923
4, 22000, 3375
5, 22000, 1749
1, 22000, 1
2, 22000, 2124
3, 22000, 6927
4, 22000, 3375
5, 22000, 1739
