1, 10000, 1
2, 10000, 383
3, 10000, 854
4, 10000, 419
5, 10000, 222
1, 10000, 0
2, 10000, 380
3, 10000, 861
4, 10000, 419
5, 10000, 222
1, 10000, 1
2, 10000, 388
3, 10000, 903
4, 10000, 439
5, 10000, 227
1, 10000, 1
2, 10000, 390
3, 10000, 950
4, 10000, 451
5, 10000, 231
1, 10000, 1
2, 10000, 374
3, 10000, 909
4, 10000, 446
5, 10000, 232
1, 10000, 1
2, 10000, 375
3, 10000, 837
4, 10000, 412
5, 10000, 217
1, 13000, 1
2, 13000, 695
3, 13000, 1836
4, 13000, 873
5, 13000, 433
1, 13000, 1
2, 13000, 696
3, 13000, 1835
4, 13000, 875
5, 13000, 438
1, 13000, 1
2, 13000, 674
3, 13000, 1858
4, 13000, 887
5, 13000, 444
1, 13000, 1
2, 13000, 677
3, 13000, 1867
4, 13000, 901
5, 13000, 453
1, 13000, 1
2, 13000, 714
3, 13000, 1901
4, 13000, 911
5, 13000, 460
1, 13000, 1
2, 13000, 705
3, 13000, 1859
4, 13000, 895
5, 13000, 449
1, 16000, 1
2, 16000, 1275
3, 16000, 3418
4, 16000, 1536
5, 16000, 766
1, 16000, 1
2, 16000, 1138
3, 16000, 3210
4, 16000, 1527
5, 16000, 777
1, 16000, 2
2, 16000, 1143
3, 16000, 3211
4, 16000, 1534
5, 16000, 779
1, 16000, 1
2, 16000, 1146
3, 16000, 3203
4, 16000, 1634
5, 16000, 841
1, 16000, 1
2, 16000, 1280
3, 16000, 3571
4, 16000, 1632
5, 16000, 822
1, 16000, 2
2, 16000, 1150
3, 16000, 3537
4, 16000, 1520
5, 16000, 759
1, 19000, 2
2, 19000, 1622
3, 19000, 5115
4, 19000, 2409
5, 19000, 1214
1, 19000, 2
2, 19000, 1633
3, 19000, 5349
4, 19000, 2678
5, 19000, 1305
1, 19000, 1
2, 19000, 1817
3, 19000, 5441
4, 19000, 2497
5, 19000, 1189
1, 19000, 2
2, 19000, 1642
3, 19000, 5061
4, 19000, 2364
5, 19000, 1195
1, 19000, 2
2, 19000, 1562
3, 19000, 4912
4, 19000, 2411
5, 19000, 1212
1, 19000, 1
2, 19000, 1598
3, 19000, 4877
4, 19000, 2393
5, 19000, 1212
1, 22000, 2
2, 22000, 2103
3, 22000, 6935
4, 22000, 3367
5, 22000, 1736
1, 22000, 2
2, 22000, 2219
3, 22000, 6929
4, 22000, 3363
5, 22000, 1739
1, 22000, 2
2, 22000, 2144
3, 22000, 6923
4, 22000, 3361
5, 22000, 1737
1, 22000, 2
2, 22000, 2170
3, 22000, 6920
4, 22000, 3365
5, 22000, 1744
1, 22000, 1
2, 22000, 2303
3, 22000, 6865
4, 22000, 3365
5, 22000, 1725
1, 22000, 1
2, 22000, 2358
3, 22000, 6951
4, 22000, 3335
5, 22000, 1721
