1, 10000, 114
2, 10000, 113
3, 10000, 1
4, 10000, 1
5, 10000, 2
1, 10000, 111
2, 10000, 118
3, 10000, 2
4, 10000, 2
5, 10000, 2
1, 10000, 108
2, 10000, 117
3, 10000, 2
4, 10000, 2
5, 10000, 2
1, 10000, 109
2, 10000, 117
3, 10000, 2
4, 10000, 2
5, 10000, 2
1, 10000, 114
2, 10000, 114
3, 10000, 2
4, 10000, 2
5, 10000, 1
1, 10000, 113
2, 10000, 119
3, 10000, 2
4, 10000, 2
5, 10000, 2
1, 13000, 189
2, 13000, 197
3, 13000, 3
4, 13000, 2
5, 13000, 3
1, 13000, 181
2, 13000, 196
3, 13000, 3
4, 13000, 3
5, 13000, 2
1, 13000, 186
2, 13000, 198
3, 13000, 2
4, 13000, 2
5, 13000, 3
1, 13000, 183
2, 13000, 199
3, 13000, 2
4, 13000, 2
5, 13000, 2
1, 13000, 189
2, 13000, 194
3, 13000, 3
4, 13000, 3
5, 13000, 3
1, 13000, 186
2, 13000, 203
3, 13000, 2
4, 13000, 3
5, 13000, 2
1, 16000, 289
2, 16000, 304
3, 16000, 3
4, 16000, 3
5, 16000, 3
1, 16000, 293
2, 16000, 300
3, 16000, 3
4, 16000, 4
5, 16000, 4
1, 16000, 280
2, 16000, 300
3, 16000, 3
4, 16000, 3
5, 16000, 4
1, 16000, 286
2, 16000, 291
3, 16000, 4
4, 16000, 3
5, 16000, 3
1, 16000, 289
2, 16000, 291
3, 16000, 4
4, 16000, 4
5, 16000, 3
1, 16000, 278
2, 16000, 300
3, 16000, 4
4, 16000, 4
5, 16000, 3
1, 19000, 386
2, 19000, 412
3, 19000, 5
4, 19000, 4
5, 19000, 4
1, 19000, 392
2, 19000, 413
3, 19000, 4
4, 19000, 4
5, 19000, 4
1, 19000, 396
2, 19000, 420
3, 19000, 5
4, 19000, 4
5, 19000, 4
1, 19000, 401
2, 19000, 414
3, 19000, 4
4, 19000, 5
5, 19000, 5
1, 19000, 400
2, 19000, 415
3, 19000, 5
4, 19000, 4
5, 19000, 4
1, 19000, 407
2, 19000, 415
3, 19000, 4
4, 19000, 4
5, 19000, 4
1, 22000, 921
2, 22000, 938
3, 22000, 8
4, 22000, 10
5, 22000, 8
1, 22000, 856
2, 22000, 1002
3, 22000, 9
4, 22000, 9
5, 22000, 9
1, 22000, 895
2, 22000, 939
3, 22000, 9
4, 22000, 11
5, 22000, 21
1, 22000, 1089
2, 22000, 935
3, 22000, 8
4, 22000, 9
5, 22000, 8
1, 22000, 907
2, 22000, 926
3, 22000, 8
4, 22000, 8
5, 22000, 8
1, 22000, 900
2, 22000, 954
3, 22000, 11
4, 22000, 8
5, 22000, 8
