1, 10000, 1
2, 10000, 374
3, 10000, 923
4, 10000, 453
5, 10000, 427
1, 10000, 0
2, 10000, 374
3, 10000, 882
4, 10000, 447
5, 10000, 423
1, 10000, 1
2, 10000, 365
3, 10000, 918
4, 10000, 454
5, 10000, 424
1, 10000, 1
2, 10000, 367
3, 10000, 900
4, 10000, 443
5, 10000, 419
1, 10000, 1
2, 10000, 386
3, 10000, 959
4, 10000, 472
5, 10000, 440
1, 10000, 1
2, 10000, 390
3, 10000, 972
4, 10000, 476
5, 10000, 448
1, 13000, 1
2, 13000, 702
3, 13000, 1925
4, 13000, 990
5, 13000, 892
1, 13000, 1
2, 13000, 649
3, 13000, 1970
4, 13000, 997
5, 13000, 876
1, 13000, 1
2, 13000, 702
3, 13000, 1971
4, 13000, 979
5, 13000, 885
1, 13000, 1
2, 13000, 699
3, 13000, 1952
4, 13000, 979
5, 13000, 872
1, 13000, 1
2, 13000, 696
3, 13000, 1977
4, 13000, 976
5, 13000, 850
1, 13000, 1
2, 13000, 646
3, 13000, 1938
4, 13000, 1001
5, 13000, 874
1, 16000, 1
2, 16000, 1031
3, 16000, 3335
4, 16000, 1731
5, 16000, 1568
1, 16000, 1
2, 16000, 1002
3, 16000, 3396
4, 16000, 1748
5, 16000, 1539
1, 16000, 1
2, 16000, 1033
3, 16000, 3381
4, 16000, 1745
5, 16000, 1540
1, 16000, 1
2, 16000, 1002
3, 16000, 3393
4, 16000, 1753
5, 16000, 1544
1, 16000, 1
2, 16000, 994
3, 16000, 3325
4, 16000, 1732
5, 16000, 1574
1, 16000, 1
2, 16000, 997
3, 16000, 827583
4, 16000, 1740
5, 16000, 1566
1, 19000, 2
2, 19000, 1511
3, 19000, 4850
4, 19000, 2735
5, 19000, 2499
1, 19000, 1
2, 19000, 1645
3, 19000, 4859
4, 19000, 2729
5, 19000, 2483
1, 19000, 2
2, 19000, 1654
3, 19000, 4870
4, 19000, 2737
5, 19000, 2508
1, 19000, 1
2, 19000, 1430
3, 19000, 4817
4, 19000, 2704
5, 19000, 2467
1, 19000, 1
2, 19000, 1438
3, 19000, 4876
4, 19000, 2737
5, 19000, 2657
1, 19000, 2
2, 19000, 1783
3, 19000, 5636
4, 19000, 3057
5, 19000, 2767
1, 22000, 2
2, 22000, 1933
3, 22000, 6774
4, 22000, 3768
5, 22000, 3632
1, 22000, 2
2, 22000, 1939
3, 22000, 6869
4, 22000, 3818
5, 22000, 3705
1, 22000, 2
2, 22000, 2029
3, 22000, 6765
4, 22000, 3780
5, 22000, 3665
1, 22000, 2
2, 22000, 1955
3, 22000, 6857
4, 22000, 3839
5, 22000, 3699
1, 22000, 1
2, 22000, 2380
3, 22000, 6831
4, 22000, 3797
5, 22000, 3648
1, 22000, 2
2, 22000, 2014
3, 22000, 6803
4, 22000, 3805
5, 22000, 3646
