1, 10000, 197
2, 10000, 95
3, 10000, 396
4, 10000, 199
5, 10000, 193
1, 10000, 197
2, 10000, 95
3, 10000, 425
4, 10000, 199
5, 10000, 196
1, 10000, 196
2, 10000, 96
3, 10000, 440
4, 10000, 198
5, 10000, 193
1, 10000, 200
2, 10000, 94
3, 10000, 439
4, 10000, 200
5, 10000, 193
1, 10000, 197
2, 10000, 95
3, 10000, 377
4, 10000, 189
5, 10000, 192
1, 10000, 199
2, 10000, 100
3, 10000, 445
4, 10000, 203
5, 10000, 194
1, 13000, 336
2, 13000, 162
3, 13000, 655
4, 13000, 317
5, 13000, 320
1, 13000, 324
2, 13000, 162
3, 13000, 638
4, 13000, 315
5, 13000, 325
1, 13000, 341
2, 13000, 166
3, 13000, 637
4, 13000, 317
5, 13000, 321
1, 13000, 339
2, 13000, 165
3, 13000, 680
4, 13000, 332
5, 13000, 321
1, 13000, 329
2, 13000, 161
3, 13000, 640
4, 13000, 317
5, 13000, 323
1, 13000, 334
2, 13000, 168
3, 13000, 665
4, 13000, 318
5, 13000, 323
1, 16000, 513
2, 16000, 257
3, 16000, 968
4, 16000, 486
5, 16000, 497
1, 16000, 512
2, 16000, 245
3, 16000, 980
4, 16000, 492
5, 16000, 493
1, 16000, 484
2, 16000, 247
3, 16000, 965
4, 16000, 485
5, 16000, 488
1, 16000, 508
2, 16000, 256
3, 16000, 1060
4, 16000, 497
5, 16000, 484
1, 16000, 507
2, 16000, 247
3, 16000, 970
4, 16000, 483
5, 16000, 493
1, 16000, 509
2, 16000, 263
3, 16000, 1003
4, 16000, 483
5, 16000, 486
1, 19000, 743
2, 19000, 360
3, 19000, 1370
4, 19000, 676
5, 19000, 684
1, 19000, 744
2, 19000, 383
3, 19000, 1397
4, 19000, 679
5, 19000, 686
1, 19000, 698
2, 19000, 353
3, 19000, 1366
4, 19000, 680
5, 19000, 692
1, 19000, 741
2, 19000, 370
3, 19000, 1369
4, 19000, 680
5, 19000, 682
1, 19000, 745
2, 19000, 380
3, 19000, 1407
4, 19000, 680
5, 19000, 678
1, 19000, 715
2, 19000, 351
3, 19000, 1378
4, 19000, 683
5, 19000, 693
1, 22000, 916
2, 22000, 479
3, 22000, 1990
4, 22000, 919
5, 22000, 916
1, 22000, 1006
2, 22000, 476
3, 22000, 1824
4, 22000, 919
5, 22000, 926
1, 22000, 933
2, 22000, 480
3, 22000, 1834
4, 22000, 927
5, 22000, 917
1, 22000, 1004
2, 22000, 527
3, 22000, 1834
4, 22000, 914
5, 22000, 917
1, 22000, 1001
2, 22000, 528
3, 22000, 1818
4, 22000, 921
5, 22000, 915
1, 22000, 918
2, 22000, 479
3, 22000, 1838
4, 22000, 915
5, 22000, 915
